comparison,metric,mean,ci95,lower95,upper95,better_seeds,n,split
cost_calibrated_failure_predictive_morphology_v5_minus_meta_adaptive_mpc,dominant_failure_rate,-0.020833333333333336,0.06760794156016543,-0.08844127489349876,0.0467746082268321,3,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_meta_adaptive_mpc,safety_violation_rate,0.03888888888888889,0.061499867565405486,-0.022610978676516597,0.10038875645429438,5,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_meta_adaptive_mpc,intervention_cost,-0.0025205636749999977,0.006980619275723684,-0.00950118295072368,0.004460055600723686,4,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_meta_adaptive_mpc,unnecessary_intervention_rate,-0.0013888888888888887,0.0018148148148148145,-0.0032037037037037034,0.00042592592592592573,1,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_meta_adaptive_mpc,planning_regret_to_oracle,0.016312709553530636,0.02499119217419155,-0.008678482620660913,0.041303901727722185,6,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_meta_adaptive_mpc,robust_utility,-0.11523149836058956,0.16714972129061492,-0.2823812196512045,0.05191822293002536,3,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_bayesian_morphology_belief,dominant_failure_accuracy,0.11423611111111112,0.10399839999972801,0.010237711111383108,0.21823451111083914,6,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_bayesian_morphology_belief,top2_failure_recall,0.040625,0.11266135367233335,-0.07203635367233335,0.15328635367233334,5,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_bayesian_morphology_belief,calibration_error,0.06948665508257577,0.08891518237125277,-0.019428527288677,0.15840183745382855,7,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_bayesian_morphology_belief,early_warning_lead_time,0.12353124999999998,0.015970776539579335,0.10756047346042065,0.13950202653957933,10,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_bayesian_morphology_belief,cross_morphology_generalization_gap,-0.017199999999999993,0.0,-0.017199999999999993,-0.017199999999999993,0,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_bayesian_morphology_belief,morphology_shift_detection,-0.042241261453856226,0.0075737697654532695,-0.0498150312193095,-0.034667491688402954,0,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_bayesian_morphology_belief,failure_family_f1,0.12911889102960533,0.11174438774977707,0.017374503279828257,0.2408632787793824,7,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_bayesian_morphology_belief,task_success,-0.014930555555555535,0.18381734305514594,-0.19874789861070147,0.1688867874995904,3,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_bayesian_morphology_belief,dominant_failure_rate,-0.01909722222222222,0.09137512619643413,-0.11047234841865636,0.07227790397421191,5,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_bayesian_morphology_belief,safety_violation_rate,0.01215277777777778,0.045936799834627555,-0.03378402205684977,0.05808957761240534,4,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_bayesian_morphology_belief,intervention_cost,-0.00027126343750000085,0.007525461713456633,-0.0077967251509566335,0.0072541982759566324,5,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_bayesian_morphology_belief,unnecessary_intervention_rate,0.0,0.0,0.0,0.0,0,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_bayesian_morphology_belief,planning_regret_to_oracle,-0.016278794658835995,0.03248925774038132,-0.04876805239921732,0.016210463081545324,4,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_bayesian_morphology_belief,robust_utility,0.0062072418654736065,0.2674765071546217,-0.26126926528914807,0.2736837490200953,3,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_retrieval_failure_memory,dominant_failure_accuracy,0.13020833333333334,0.08375258541246118,0.04645574792087216,0.21396091874579454,7,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_retrieval_failure_memory,top2_failure_recall,0.08020833333333334,0.10742555013198266,-0.027217216798649316,0.187633883465316,6,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_retrieval_failure_memory,calibration_error,-0.01609979667415322,0.06992962468516399,-0.08602942135931721,0.05382982801101077,5,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_retrieval_failure_memory,early_warning_lead_time,0.10248941666666671,0.01376224781244879,0.08872716885421791,0.1162516644791155,10,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_retrieval_failure_memory,cross_morphology_generalization_gap,-0.048205333333333336,0.0,-0.048205333333333336,-0.048205333333333336,0,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_retrieval_failure_memory,morphology_shift_detection,0.11122349149082791,0.007408349103281238,0.10381514238754667,0.11863184059410915,10,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_retrieval_failure_memory,failure_family_f1,0.14689848995801377,0.0910383017872789,0.055860188170734876,0.23793679174529267,9,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_retrieval_failure_memory,task_success,0.021527777777777802,0.12275934481204732,-0.10123156703426953,0.14428712258982512,6,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_retrieval_failure_memory,dominant_failure_rate,-0.02986111111111111,0.10739560559363237,-0.1372567167047435,0.07753449448252125,5,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_retrieval_failure_memory,safety_violation_rate,-0.03888888888888889,0.07056368974692004,-0.10945257863580893,0.03167480085803115,3,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_retrieval_failure_memory,intervention_cost,-0.010542004479166669,0.009162669874019844,-0.019704674353186513,-0.0013793346051468244,2,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_retrieval_failure_memory,unnecessary_intervention_rate,-0.0006944444444444444,0.001361111111111111,-0.0020555555555555553,0.0006666666666666665,1,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_retrieval_failure_memory,planning_regret_to_oracle,-0.024533699501268495,0.03534859475376415,-0.05988229425503265,0.010814895252495658,4,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_retrieval_failure_memory,robust_utility,0.11193670491185463,0.25809047494659754,-0.1461537700347429,0.3700271798584522,6,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_morphology_failure_transformer_prior,dominant_failure_accuracy,0.0611111111111111,0.12938990101592485,-0.06827878990481374,0.19050101212703596,6,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_morphology_failure_transformer_prior,top2_failure_recall,0.03090277777777777,0.06777101783355595,-0.036868240055778184,0.09867379561133371,4,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_morphology_failure_transformer_prior,calibration_error,-0.024154912288053554,0.10824051100677311,-0.13239542329482668,0.08408559871871955,6,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_morphology_failure_transformer_prior,early_warning_lead_time,0.07046022222222231,0.013851991659462312,0.05660823056276,0.08431221388168463,10,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_morphology_failure_transformer_prior,cross_morphology_generalization_gap,-0.01691733333333334,0.0,-0.01691733333333334,-0.01691733333333334,0,10,actuator_degradation_shift
