seed,ablation,dominant_failure_accuracy,top2_failure_recall,calibration_error,early_warning_lead_time,cross_morphology_generalization_gap,morphology_shift_detection,failure_family_f1,task_success,dominant_failure_rate,safety_violation_rate,intervention_cost,unnecessary_intervention_rate,planning_regret_to_oracle,robust_utility
8,minus_morphology_embedding,0.4184027777777778,0.6059027777777778,0.05195460213554938,0.7438258055555557,0.22688466666666668,0.30841925985960317,0.24228035742916695,0.8003472222222222,0.14583333333333334,0.0,0.02051178532986111,0.0,0.16469493928077605,0.5591637946605749
8,minus_online_correction,0.4748263888888889,0.8420138888888888,0.08756516712438644,0.7478888194444445,0.13702833333333334,0.5647967403223261,0.2851121544350711,0.4600694444444444,0.3289930555555556,0.125,0.012819055989583333,0.0,0.2774562994494061,-0.10587733797926185
8,morphology_only,0.3897569444444444,0.5512152777777778,0.08577864558458781,0.7157246805555556,0.134347,0.593437319685353,0.2228953771463692,0.5425347222222222,0.3125,0.18836805555555555,0.017412863798611112,0.0,0.26070096934211545,-0.13325181447107803
8,online_adaptation_only,0.4157986111111111,0.4157986111111111,0.07648355054979507,0.7420670972222223,0.19434933333333335,0.5746284323438023,0.2361775576532521,0.5894097222222222,0.3072916666666667,0.2439236111111111,0.019817115531250002,0.0,0.23135477813763689,-0.07431488562849614
9,failure_history_only,0.4713541666666667,0.7552083333333334,0.1279661706449151,0.7605358750000001,0.20647466666666664,0.35433721456412337,0.2882917906975447,0.6328125,0.3125,0.12239583333333333,0.012001647249999999,0.0,0.23004493882274155,0.06569539435563276
9,full_cost_calibrated_failure_predictive_morphology_v5,0.7369791666666666,0.75,0.1459372928212831,0.7840254583333335,0.10614966666666667,0.5911629075906939,0.5080661069897181,0.515625,0.07725694444444445,0.2361111111111111,0.008993526923611111,0.0,0.21087958986151933,0.007017755536867022
9,minus_confidence_gate,0.9947916666666666,0.9947916666666666,0.43789995666013953,0.8268119166666668,0.10614966666666667,0.5779892812428459,0.98831569664903,0.5729166666666666,0.005208333333333333,0.10416666666666667,0.01977019425347222,0.0,0.15374336327723376,0.32202472495854056
9,minus_constraint_family_head,0.5260416666666666,0.7760416666666666,0.08730821141109792,0.7671244166666668,0.10614966666666667,0.5853465781141282,0.33766697808364476,0.4383680555555556,0.1892361111111111,0.046875,0.024003294499999998,0.0,0.19247396753394763,0.08285215686790333
9,minus_cost_calibration,0.6484375,0.875,0.2837254288359169,0.7860567083333334,0.10614966666666667,0.5945669124706061,0.45636487098292655,0.7491319444444444,0.125,0.12065972222222222,0.061940704875,0.0,0.1331183034731753,0.37725116204169395
9,minus_failure_history,0.625,0.875,0.12461862233179744,0.7727513333333335,0.12479766666666667,0.5827124125219961,0.42433051130967797,0.6657986111111112,0.125,0.16927083333333334,0.030004118125,0.0008680555555555555,0.1749940444054807,0.21803877409324685
9,minus_morphology_embedding,0.3125,0.4375,0.024981541602389874,0.7208223333333335,0.22688466666666668,0.2988534088092055,0.17356627260893134,0.9357638888888888,0.06076388888888889,0.0,0.024003294499999998,0.0008680555555555555,0.15501232980175994,0.7676690532804347
9,minus_online_correction,0.6883680555555556,1.0,0.14591902997817527,0.7797464583333334,0.13702833333333334,0.5890082522650122,0.5054602875262597,0.5503472222222222,0.06163194444444445,0.10850694444444445,0.018002470875,0.0,0.20444009514706196,0.21419880761441773
9,morphology_only,0.375,0.5,0.07369526961008771,0.7102993333333334,0.134347,0.582735629944422,0.21602538279621614,0.4418402777777778,0.3081597222222222,0.12586805555555555,0.017967768427083333,0.0,0.26446598968239365,-0.1552342580143075
9,online_adaptation_only,0.375,0.5,0.031068842397610114,0.7451313333333334,0.19434933333333335,0.5822524325291092,0.2178558878658085,0.6015625,0.2734375,0.0008680555555555555,0.033176349520833336,0.0008680555555555555,0.1763181966616382,0.24361902478961242
